agent,seed,episode,interactions,mean_coins
masked_q,0,0,0,9.65625
masked_q,0,100,10000,14.34375
masked_q,0,200,20000,21.90625
masked_q,0,300,30000,21.875
masked_q,1,0,0,9.65625
masked_q,1,100,10000,10.46875
masked_q,1,200,20000,18.84375
masked_q,1,300,30000,18.5625
masked_q,2,0,0,9.65625
masked_q,2,100,10000,14.6875
masked_q,2,200,20000,10.25
masked_q,2,300,30000,19.5625
linear_sarsa,0,0,0,9.65625
linear_sarsa,0,100,10000,7.21875
linear_sarsa,0,200,20000,23.0
linear_sarsa,0,300,30000,4.6875
linear_sarsa,1,0,0,9.65625
linear_sarsa,1,100,10000,29.9375
linear_sarsa,1,200,20000,14.0625
linear_sarsa,1,300,30000,26.375
linear_sarsa,2,0,0,9.65625
linear_sarsa,2,100,10000,20.25
linear_sarsa,2,200,20000,11.5
linear_sarsa,2,300,30000,6.03125
